                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54629,                0.48146,                 0.9849,                0.91605,                0.87877,                0.95067,                0.84815,                0.57913,                0.48544,                 1.1235,               0.004225,               0.004225,               0.004225
                     37,                0.53891,                0.47049,                0.97783,                0.89275,                0.85536,                0.94307,                0.84235,                0.57638,                0.51198,                 1.1125,                0.00406,                0.00406,                0.00406
                     38,                0.53856,                0.49223,                0.98476,                 0.9122,                0.92838,                0.96378,                0.84676,                0.61001,                0.46825,                 1.1241,               0.003895,               0.003895,               0.003895
                     39,                0.53323,                0.47034,                0.98254,                0.93174,                0.90112,                0.96099,                0.86047,                0.57848,                0.44719,                 1.1067,                0.00373,                0.00373,                0.00373
                     40,                0.52322,                0.45758,                0.97745,                0.94371,                0.92256,                0.96462,                 0.8588,                0.56741,                0.44704,                 1.0932,               0.003565,               0.003565,               0.003565
                     41,                 0.5163,                0.45049,                0.97193,                0.90588,                0.86935,                0.94863,                 0.8543,                0.55045,                0.47587,                 1.1053,                 0.0034,                 0.0034,                 0.0034
                     42,                0.51356,                0.46523,                0.96896,                0.96314,                0.89533,                0.95085,                0.84784,                0.55834,                0.44141,                 1.0988,               0.003235,               0.003235,               0.003235
                     43,                0.50633,                0.43214,                0.96589,                0.94735,                 0.9077,                0.96019,                0.86785,                0.55931,                0.44284,                 1.1113,                0.00307,                0.00307,                0.00307
                     44,                0.50061,                0.42561,                0.96007,                0.93521,                0.92118,                0.96094,                0.86665,                0.56477,                0.43632,                 1.0842,               0.002905,               0.002905,               0.002905
                     45,                0.49368,                 0.4271,                 0.9577,                0.84351,                0.85124,                0.92436,                0.82614,                0.55593,                0.50501,                 1.0891,                0.00274,                0.00274,                0.00274
                     46,                0.49659,                0.42816,                0.96043,                0.90731,                0.88002,                0.95074,                0.85101,                0.55652,                0.45475,                 1.0897,               0.002575,               0.002575,               0.002575
                     47,                0.47869,                0.41023,                0.95091,                0.93315,                0.89894,                0.95397,                0.86124,                0.54823,                0.43932,                 1.0822,                0.00241,                0.00241,                0.00241
                     48,                0.47626,                 0.4065,                0.95354,                0.92988,                0.90558,                0.95159,                0.85454,                 0.5418,                0.43777,                 1.0758,               0.002245,               0.002245,               0.002245
                     49,                0.49447,                0.44741,                0.96821,                 0.9626,                0.89731,                0.96204,                0.87136,                0.51788,                0.40636,                 1.0651,                0.00208,                0.00208,                0.00208
                     50,                0.43106,                 0.3413,                0.92182,                0.91457,                0.87009,                0.94262,                0.85549,                0.53464,                0.45276,                 1.0607,               0.001915,               0.001915,               0.001915
                     51,                0.43878,                0.35109,                0.92492,                0.88873,                0.88743,                0.95236,                0.86341,                0.52595,                0.42881,                 1.0564,                0.00175,                0.00175,                0.00175
                     52,                0.41935,                0.32362,                0.92081,                0.90834,                0.91803,                0.96004,                0.87271,                0.50971,                0.41827,                 1.0516,               0.001585,               0.001585,               0.001585
                     53,                0.40958,                0.31913,                0.90923,                0.93977,                0.90762,                0.94833,                0.86041,                0.53778,                0.41755,                 1.0761,                0.00142,                0.00142,                0.00142
                     54,                0.40499,                0.31884,                0.91007,                0.90473,                 0.8414,                0.94386,                0.86131,                0.51738,                0.42886,                 1.0596,               0.001255,               0.001255,               0.001255
                     55,                0.40364,                0.32034,                0.91282,                0.95311,                0.92189,                0.96228,                0.87976,                0.50629,                 0.3808,                 1.0485,                0.00109,                0.00109,                0.00109
                     56,                 0.3932,                0.28983,                0.89473,                0.94959,                0.92474,                0.96539,                0.88126,                0.49106,                0.37889,                 1.0388,               0.000925,               0.000925,               0.000925
                     57,                0.39546,                 0.3146,                0.90446,                0.95053,                0.92351,                0.96614,                0.88168,                0.49048,                0.38342,                 1.0331,                0.00076,                0.00076,                0.00076
                     58,                0.38036,                0.28782,                0.89476,                0.94636,                0.91819,                 0.9657,                0.88658,                0.48408,                0.36959,                 1.0278,               0.000595,               0.000595,               0.000595
                     59,                0.37904,                0.28219,                0.89349,                0.93474,                0.93954,                0.96944,                 0.8902,                0.48035,                 0.3672,                 1.0281,                0.00043,                0.00043,                0.00043
